State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Massachusetts,0.116,0.123,0.13,0.138,0.145,0.153,0.158,0.163,0.168,0.178,0.186,0.198,0.209,0.212,0.217,0.223,0.227,0.229,0.236,0.233,0.243,0.236,0.259,0.257,0.252
Virginia,0.142,0.151,0.16,0.169,0.178,0.187,0.197,0.207,0.217,0.229,0.233,0.245,0.252,0.254,0.255,0.259,0.292,0.274,0.272,0.285,0.292,0.29,0.301,0.304,0.319
Maryland,0.15,0.159,0.168,0.177,0.186,0.196,0.2037,0.2113,0.219,0.217,0.234,0.244,0.252,0.26,0.266,0.271,0.283,0.276,0.283,0.296,0.289,0.299,0.313,0.309,0.323
Vermont,0.134,0.141,0.148,0.155,0.162,0.17,0.1787,0.1873,0.196,0.191,0.195,0.2,0.211,0.221,0.228,0.235,0.254,0.237,0.247,0.248,0.251,0.271,0.276,0.275,0.266
Maine,0.143,0.152,0.161,0.17,0.179,0.189,0.1923,0.1957,0.199,0.213,0.22,0.23,0.237,0.247,0.258,0.265,0.278,0.284,0.289,0.282,0.3,0.299,0.291,0.304,0.317
Washington,0.139,0.148,0.157,0.166,0.175,0.184,0.195,0.206,0.217,0.217,0.224,0.232,0.245,0.254,0.263,0.264,0.265,0.268,0.272,0.273,0.264,0.286,0.277,0.287,0.283
Michigan,0.172,0.181,0.191,0.201,0.211,0.221,0.2313,0.2417,0.252,0.253,0.256,0.268,0.277,0.288,0.294,0.305,0.313,0.311,0.315,0.307,0.312,0.325,0.323,0.33,0.36
Wisconsin,0.164,0.17,0.176,0.182,0.188,0.194,0.199,0.204,0.209,0.219,0.229,0.248,0.255,0.26,0.269,0.274,0.277,0.297,0.298,0.312,0.307,0.307,0.32,0.32,0.342
Minnesota,0.146,0.149,0.153,0.156,0.16,0.164,0.186,0.208,0.23,0.226,0.231,0.237,0.248,0.253,0.255,0.253,0.257,0.257,0.255,0.276,0.261,0.278,0.284,0.301,0.301
West Virginia,0.177,0.189,0.201,0.214,0.226,0.239,0.2517,0.2643,0.277,0.276,0.286,0.298,0.306,0.311,0.313,0.322,0.324,0.338,0.351,0.357,0.356,0.377,0.381,0.395,0.397
Missouri,0.169,0.178,0.187,0.196,0.205,0.214,0.2213,0.2287,0.236,0.239,0.252,0.263,0.274,0.281,0.293,0.303,0.303,0.296,0.304,0.302,0.324,0.317,0.325,0.35,0.348
Wyoming,0.14,0.145,0.15,0.155,0.16,0.166,0.1777,0.1893,0.201,0.201,0.217,0.228,0.24,0.243,0.25,0.254,0.25,0.246,0.278,0.295,0.29,0.277,0.288,0.29,0.297
District of Columbia,0.128,0.142,0.157,0.171,0.186,0.201,0.2017,0.2023,0.203,0.212,0.215,0.222,0.221,0.223,0.215,0.217,0.237,0.219,0.229,0.217,0.221,0.226,0.23,0.247,0.238
Mississippi,0.194,0.202,0.211,0.219,0.228,0.237,0.2517,0.2663,0.281,0.281,0.295,0.306,0.317,0.325,0.338,0.344,0.349,0.346,0.351,0.355,0.356,0.373,0.373,0.395,0.408
Montana,0.13,0.135,0.14,0.145,0.15,0.156,0.1667,0.1773,0.188,0.191,0.199,0.207,0.217,0.227,0.235,0.238,0.246,0.243,0.246,0.264,0.236,0.255,0.253,0.269,0.283
